id,name,manaCost,colors,type,power,toughness,artist,keywords,originalText,flavorText
774,"Genesis Wave","{X}{G}{G}{G}","G","Sorcery","","","Arif Wijaya","","Reveal the top X cards of your library. You may put any number of permanent cards with mana value X or less from among them onto the battlefield. Then put all cards revealed this way that weren't put onto the battlefield into your graveyard.",""
775,"Ghalta, Primal Hunger","{10}{G}{G}","G","Legendary Creature — Elder Dinosaur","12","12","Chase Stone","Trample","This spell costs {X} less to cast, where X is the total power of creatures you control.\nTrample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)","The earth walks, strongest of all."
776,"Giant Growth","{G}","G","Instant","","","Matt Cavotta","","Target creature gets +3/+3 until end of turn.",""
777,"Gnarlid Colony","{1}{G}","G","Creature — Beast","2","2","Izzy","Kicker","Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.)\nIf this creature was kicked, it enters with two +1/+1 counters on it.\nEach creature you control with a +1/+1 counter on it has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)",""
778,"Grow from the Ashes","{2}{G}","G","Sorcery","","","Richard Wright","Kicker","Kicker {2} (You may pay an additional {2} as you cast this spell.)\nSearch your library for a basic land card, put it onto the battlefield, then shuffle. If this spell was kicked, instead search your library for two basic land cards, put them onto the battlefield, then shuffle.",""
779,"Inspiring Call","{2}{G}","G","Instant","","","Dan Murayama Scott","","Draw a card for each creature you control with a +1/+1 counter on it. Those creatures gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)","""They said we were weak, did they? Let's show them what happens when we fight as one!"""
780,"Llanowar Elves","{G}","G","Creature — Elf Druid","1","1","Kev Walker","","{T}: Add {G}.","The elves of the Llanowar forest have defended it for generations. It is their sacred duty to keep outside influences from corrupting their ancestral home."
781,"Mild-Mannered Librarian","{G}","G","Creature — Human","1","1","Justyna Dura","","{3}{G}: This creature becomes a Werewolf. Put two +1/+1 counters on it and you draw a card. Activate only once.","She had always believed in the transformative powers of great literature."
782,"Nessian Hornbeetle","{1}{G}","G","Creature — Insect","2","2","Jason Felix","","At the beginning of combat on your turn, if you control another creature with power 4 or greater, put a +1/+1 counter on this creature.","""The first rule of politics can be learned from a lowly hornbeetle: it is wise to cultivate powerful friends.""\n—Pythamon, sage of Meletis"
783,"Overrun","{2}{G}{G}{G}","G","Sorcery","","","Carl Critchlow","","Creatures you control get +3/+3 and gain trample until end of turn. (Each of those creatures can deal excess combat damage to the player or planeswalker it's attacking.)","Nature doesn't walk."
784,"Reclamation Sage","{2}{G}","G","Creature — Elf Shaman","2","1","Christopher Moeller","","When this creature enters, you may destroy target artifact or enchantment.","""What was once formed by masons, shaped by smiths, or given life by mages, I will return to the embrace of the earth."""
785,"Scavenging Ooze","{1}{G}","G","Creature — Ooze","2","2","Austin Hsu","","{G}: Exile target card from a graveyard. If it was a creature card, put a +1/+1 counter on this creature and you gain 1 life.","In nature, not a single bone or scrap of flesh goes to waste."
786,"Snakeskin Veil","{G}","G","Instant","","","Dan Murayama Scott","","Put a +1/+1 counter on target creature you control. It gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)","Most travelers panic when they stumble upon the skin of a giant rattlewurm. Landry saw it as a gift."
787,"Vivien Reid","{3}{G}{G}","G","Legendary Planeswalker — Vivien","","","Anna Steinbauer","","+1: Look at the top four cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.\n−3: Destroy target artifact, enchantment, or creature with flying.\n−8: You get an emblem with ""Creatures you control get +2/+2 and have vigilance, trample, and indestructible.""",""
788,"Wary Thespian","{1}{G}","G","Creature — Cat Druid","3","1","Billy Christian","Surveil","When this creature enters or dies, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)","Giorgio paced the stage anxiously. This was their final rehearsal, but there were still so many mistakes!"
789,"Wildwood Scourge","{X}{G}","G","Creature — Hydra","0","0","Bryan Sola","","This creature enters with X +1/+1 counters on it.\nWhenever one or more +1/+1 counters are put on another non-Hydra creature you control, put a +1/+1 counter on this creature.",""
790,"Balmor, Battlemage Captain","{U}{R}","R,U","Legendary Creature — Bird Wizard","1","3","Bram Sels","Flying","Flying\nWhenever you cast an instant or sorcery spell, creatures you control get +1/+0 and gain trample until end of turn.","""Even the most hardened armies are ill-equipped to defend against an onslaught from the sky."""
791,"Consuming Aberration","{3}{U}{B}","B,U","Creature — Horror","*","*","Karl Kopinski","","Consuming Aberration's power and toughness are each equal to the number of cards in your opponents' graveyards.\nWhenever you cast a spell, each opponent reveals cards from the top of their library until they reveal a land card, then puts those cards into their graveyard.",""
792,"Empyrean Eagle","{1}{W}{U}","U,W","Creature — Bird Spirit","2","3","Jason A. Engle","Flying","Flying\nOther creatures you control with flying get +1/+1.","All the birds of the skies are the spirit's brood, gathered for safety under its wings."
793,"Good-Fortune Unicorn","{1}{G}{W}","G,W","Creature — Unicorn","2","2","Kee Lo","","Whenever another creature you control enters, put a +1/+1 counter on that creature.","Catching even a glimpse of one is the start of eight years of good luck."
794,"Heroic Reinforcements","{2}{R}{W}","R,W","Sorcery","","","Scott Murphy","","Create two 1/1 white Soldier creature tokens. Until end of turn, creatures you control get +1/+1 and gain haste. (They can attack and {T} this turn.)","Cries of anguish quickly spurred cries of action."
795,"Lathril, Blade of the Elves","{2}{B}{G}","B,G","Legendary Creature — Elf Noble","2","3","Caroline Gariba","Menace","Menace (This creature can't be blocked except by two or more creatures.)\nWhenever Lathril deals combat damage to a player, create that many 1/1 green Elf Warrior creature tokens.\n{T}, Tap ten untapped Elves you control: Each opponent loses 10 life and you gain 10 life.",""
796,"Muldrotha, the Gravetide","{3}{B}{G}{U}","B,G,U","Legendary Creature — Elemental Avatar","6","6","Jason Rainville","","During each of your turns, you may play a land and cast a permanent spell of each permanent type from your graveyard. (If a card has multiple permanent types, choose one as you play it.)","""My child grew from rot and ruin, yet she bloomed.""\n—Multani"
797,"Progenitus","{W}{W}{U}{U}{B}{B}{R}{R}{G}{G}","B,G,R,U,W","Legendary Creature — Hydra Avatar","10","10","Jaime Jones","Protection","Protection from everything\nIf Progenitus would be put into a graveyard from anywhere, reveal Progenitus and shuffle it into its owner's library instead.","The Soul of the World has returned."
798,"Ruby, Daring Tracker","{R}{G}","G,R","Legendary Creature — Human Scout","1","2","Ekaterina Burmak","Haste","Haste (This creature can attack and {T} as soon as it comes under your control.)\nWhenever Ruby attacks while you control a creature with power 4 or greater, Ruby gets +2/+2 until end of turn.\n{T}: Add {R} or {G}.","Neither the sharpest thorns nor the foulest beasts would stop her from finding her brother."
799,"Swiftblade Vindicator","{R}{W}","R,W","Creature — Human Soldier","1","1","Viktor Titov","Double strike,Trample,Vigilance","Double strike (This creature deals both first-strike and regular combat damage.)\nVigilance (Attacking doesn't cause this creature to tap.)\nTrample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)",""
800,"Tatyova, Benthic Druid","{3}{G}{U}","G,U","Legendary Creature — Merfolk Druid","3","3","Mathias Kollros","Landfall","Landfall — Whenever a land you control enters, you gain 1 life and draw a card.","""Yavimaya is one being—one vastness of rippling leaves, one deepness of roots, and one chatter of animals—of which I am one part."""
801,"Thousand-Year Storm","{4}{U}{R}","R,U","Enchantment","","","Dimitar Marinski","","Whenever you cast an instant or sorcery spell, copy it for each other instant and sorcery spell you've cast before it this turn. You may choose new targets for the copies.","Ral's storm crackled with mystical detections: Planeswalkers were infiltrating Ravnica."
802,"Adventuring Gear","{1}","","Artifact — Equipment","","","Howard Lyon","Equip,Landfall","Landfall — Whenever a land you control enters, equipped creature gets +2/+2 until end of turn.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)","An explorer's essentials in a wild world."
803,"Burnished Hart","{3}","","Artifact Creature — Elk","2","2","Yeong-Hao Han","","{3}, Sacrifice this creature: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.","Forged by divine hands to wander mortal realms."
804,"Campus Guide","{2}","","Artifact Creature — Golem","2","1","Slawomir Maniak","","When this creature enters, you may search your library for a basic land card, reveal it, then shuffle and put that card on top.","""There's nowhere in Strixhaven I can't find. Where do you need to go?"""
805,"Gleaming Barrier","{2}","","Artifact Creature — Wall","0","4","Jason Felix","Defender,Treasure","Defender\nWhen this creature dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")","""Gold without freedom might as well be lead.""\n—Angrath"
806,"Goldvein Pick","{2}","","Artifact — Equipment","","","Dan Murayama Scott","Equip,Treasure","Equipped creature gets +1/+1.\nWhenever equipped creature deals combat damage to a player, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",""
807,"Heraldic Banner","{3}","","Artifact","","","Ravenna Tran","","As this artifact enters, choose a color.\nCreatures you control of the chosen color get +1/+0.\n{T}: Add one mana of the chosen color.",""
808,"Juggernaut","{4}","","Artifact Creature — Juggernaut","5","3","Kev Walker","","This creature attacks each combat if able.\nThis creature can't be blocked by Walls.","Many a besieged city has surrendered upon hearing the distinctive rumble of the juggernaut."
809,"Meteor Golem","{7}","","Artifact Creature — Golem","3","3","Lake Hurwitz","","When this creature enters, destroy target nonland permanent an opponent controls.","The impact sent the soldiers scattering—then something came out of the crater."
810,"Solemn Simulacrum","{4}","","Artifact Creature — Golem","2","2","Dan Murayama Scott","","When this creature enters, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.\nWhen this creature dies, you may draw a card.",""
811,"Swiftfoot Boots","{2}","","Artifact — Equipment","","","Svetlin Velinov","Equip","Equipped creature has hexproof and haste. (It can't be the target of spells or abilities your opponents control. It can attack and {T} no matter when it came under your control.)\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",""
812,"Bloodfell Caves","","","Land","","","Adam Paquette","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {B} or {R}.",""
813,"Blossoming Sands","","","Land","","","Sam Burley","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {G} or {W}.",""
814,"Dismal Backwater","","","Land","","","Sam Burley","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {U} or {B}.",""
815,"Evolving Wilds","","","Land","","","Sam Burley","","{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.","The land is ever resilient. Should it die, it will be reborn."
816,"Jungle Hollow","","","Land","","","Eytan Zana","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {B} or {G}.",""
817,"Rogue's Passage","","","Land","","","Christine Choi","","{T}: Add {C}.\n{4}, {T}: Target creature can't be blocked this turn.","Rumors quickly spread among thieves about a labyrinth without walls and a prize beyond all measures of worth."
818,"Rugged Highlands","","","Land","","","Eytan Zana","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {R} or {G}.",""
819,"Scoured Barrens","","","Land","","","Eytan Zana","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {W} or {B}.",""
820,"Secluded Courtyard","","","Land","","","Sam Burley","","As this land enters, choose a creature type.\n{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type or activate an ability of a creature source of the chosen type.",""
821,"Swiftwater Cliffs","","","Land","","","Adam Paquette","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {U} or {R}.",""
822,"Thornwood Falls","","","Land","","","Eytan Zana","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {G} or {U}.",""
823,"Tranquil Cove","","","Land","","","Jonas De Ro","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {W} or {U}.",""
824,"Wind-Scarred Crag","","","Land","","","Jonas De Ro","","This land enters tapped.\nWhen this land enters, you gain 1 life.\n{T}: Add {R} or {W}.",""
825,"Plains","","","Basic Land — Plains","","","Rebecca Guay","","",""
826,"Plains","","","Basic Land — Plains","","","Tingting Yeh","","",""
827,"Island","","","Basic Land — Island","","","John Avon","","",""
828,"Island","","","Basic Land — Island","","","Rebecca Guay","","",""
829,"Swamp","","","Basic Land — Swamp","","","Mike Bierek","","",""
830,"Swamp","","","Basic Land — Swamp","","","Rebecca Guay","","",""
831,"Mountain","","","Basic Land — Mountain","","","Piotr Dura","","",""
832,"Mountain","","","Basic Land — Mountain","","","Rebecca Guay","","",""
833,"Forest","","","Basic Land — Forest","","","Rebecca Guay","","",""
834,"Forest","","","Basic Land — Forest","","","Jim Nelson","","",""
835,"Plains","","","Basic Land — Plains","","","Sam Burley","","",""
836,"Plains","","","Basic Land — Plains","","","Julian Kok Joon Wen","","",""
837,"Island","","","Basic Land — Island","","","Daniel Ljunggren","","",""
838,"Island","","","Basic Land — Island","","","Adam Paquette","","",""
839,"Swamp","","","Basic Land — Swamp","","","Steven Belledin","","",""
840,"Swamp","","","Basic Land — Swamp","","","Piotr Dura","","",""
841,"Mountain","","","Basic Land — Mountain","","","Dan Murayama Scott","","",""
842,"Mountain","","","Basic Land — Mountain","","","Salvatorre Zee Yazzie","","",""
843,"Forest","","","Basic Land — Forest","","","Sam Burley","","",""
844,"Forest","","","Basic Land — Forest","","","Piotr Dura","","",""
845,"Sire of Seven Deaths","{7}","","Creature — Eldrazi","7","7","Alexander Mokhov","First strike,Lifelink,Menace,Reach,Trample,Vigilance,Ward","First strike\nVigilance\nMenace\nTrample\nReach\nLifelink\nWard—\nPay 7 life.",""
846,"Ajani's Pridemate","{1}{W}","W","Creature — Cat Soldier","2","2","Chris Rallis","","Whenever you gain life, put a +1/+1 counter on this creature.","""We must never stoop to violence in the name of conquest or hatred, but when evil threatens, we must face it with courage and ferocity.""\n—Ajani Goldmane"
847,"Arahbo, the First Fang","{2}{W}","W","Legendary Creature — Cat Avatar","2","2","Chris Rahn","","Other Cats you control get +1/+1.\nWhenever Arahbo or another nontoken Cat you control enters, create a 1/1 white Cat creature token.","The rumble of his roar is a call to the hunt."
848,"Celestial Armor","{2}{W}","W","Artifact — Equipment","","","José Parodi","Equip,Flash","Flash\nWhen this Equipment enters, attach it to target creature you control. That creature gains hexproof and indestructible until end of turn.\nEquipped creature gets +2/+0 and has flying.\nEquip {3}{W}",""
849,"Crystal Barricade","{1}{W}","W","Artifact Creature — Wall","0","4","Alayna Danner","Defender","Defender\nYou have hexproof.\nPrevent all noncombat damage that would be dealt to other creatures you control.","Ikoria's crystals glow in the presence of monsters, making them valuable as both defensive fortifications and warning beacons."
850,"Exemplar of Light","{2}{W}{W}","W","Creature — Angel","3","3","Chris Rahn","Flying","Flying\nWhenever you gain life, put a +1/+1 counter on this creature.\nWhenever you put one or more +1/+1 counters on this creature, draw a card. This ability triggers only once each turn.",""
851,"Giada, Font of Hope","{1}{W}","W","Legendary Creature — Angel","2","2","Scott M. Fischer","Flying,Vigilance","Flying, vigilance\nEach other Angel you control enters with an additional +1/+1 counter on it for each Angel you already control.\n{T}: Add {W}. Spend this mana only to cast an Angel spell.",""
852,"Herald of Eternal Dawn","{4}{W}{W}{W}","W","Creature — Angel","6","6","PINDURSKI","Flash,Flying","Flash\nFlying\nYou can't lose the game and your opponents can't win the game.","""Have patience, brave one. Just as the sun returns each morning, I will be there to drive back the terrors of night."""
853,"Raise the Past","{2}{W}{W}","W","Sorcery","","","Jorge Jacinto","","Return all creature cards with mana value 2 or less from your graveyard to the battlefield.","Conyan the Great carefully selected his last words as he lay bleeding on the battlefield. Moments later, he snapped awake in a body of stone, with a startled, curious face peering at him."
854,"Skyknight Squire","{1}{W}","W","Creature — Cat Scout","1","1","Arif Wijaya","","Whenever another creature you control enters, put a +1/+1 counter on this creature.\nAs long as this creature has three or more +1/+1 counters on it, it has flying and is a Knight in addition to its other types.","""Fly high. Fly true. Fly free.""\n—Skyknight's oath"
855,"Valkyrie's Call","{3}{W}{W}","W","Enchantment","","","Julie Dillon","","Whenever a nontoken, non-Angel creature you control dies, return that card to the battlefield under its owner's control with a +1/+1 counter on it. It has flying and is an Angel in addition to its other types.","Every warrior on Kaldheim aspires to a death so noble."
856,"Youthful Valkyrie","{1}{W}","W","Creature — Angel","1","3","Néstor Ossandón Leal","Flying","Flying\nWhenever another Angel you control enters, put a +1/+1 counter on this creature.","Helle soared joyfully through the icy dawn. After hearing one thousand tales of her ancestors, she'd finally taken her place among the honored host."
857,"Archmage of Runes","{3}{U}{U}","U","Creature — Giant Wizard","3","6","Zoltan Boros","","Instant and sorcery spells you cast cost {1} less to cast.\nWhenever you cast an instant or sorcery spell, draw a card.","The giants of Kaldheim have over two hundred runes for ""squish."""
858,"Curator of Destinies","{4}{U}{U}","U","Creature — Sphinx","5","5","Alayna Danner","Flying","This spell can't be countered.\nFlying\nWhen this creature enters, look at the top five cards of your library and separate them into a face-down pile and a face-up pile. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard.",""
859,"Drake Hatcher","{1}{U}","U","Creature — Human Wizard","1","3","Zoltan Boros","Prowess,Vigilance","Vigilance, prowess\nWhenever this creature deals combat damage to a player, put that many incubation counters on it.\nRemove three incubation counters from this creature: Create a 2/2 blue Drake creature token with flying.",""
860,"High Fae Trickster","{3}{U}","U","Creature — Faerie Wizard","4","2","Arif Wijaya","Flash,Flying","Flash\nFlying\nYou may cast spells as though they had flash.","""You humans think even slower than you move. You don't realize you've already lost."""
861,"Homunculus Horde","{3}{U}","U","Creature — Homunculus","2","2","Filipe Pagliuso","","Whenever you draw your second card each turn, create a token that's a copy of this creature.","""To whoever left their homunculus experiment unattended: you will not be penalized if you come forward and tell us how to make it stop.""\n—Laboratory notice"
862,"Kiora, the Rising Tide","{2}{U}","U","Legendary Creature — Merfolk Noble","3","2","Magali Villeneuve","Threshold","When Kiora enters, draw two cards, then discard two cards.\nThreshold — Whenever Kiora attacks, if there are seven or more cards in your graveyard, you may create Scion of the Deep, a legendary 8/8 blue Octopus creature token.",""
863,"Lunar Insight","{2}{U}","U","Sorcery","","","Julie Dillon","","Draw a card for each different mana value among nonland permanents you control.","""When wolves howl at the moon, I can't help but wonder: Does it answer? What secrets might it share when humans aren't listening?""\n—Elinor, philosopher"
864,"An Offer You Can't Refuse","{U}","U","Instant","","","Aaron J. Riley","Treasure","Counter target noncreature spell. Its controller creates two Treasure tokens.","""I sincerely regret that your place of business burned itself down after you declined our protection."""
865,"Omniscience","{7}{U}{U}{U}","U","Enchantment","","","Dominik Mayer","","You may cast spells from your hand without paying their mana costs.","""Knowing everything reveals not answers, but in fact their profound absence.""\n—Gadwick, the Wizened"
866,"Refute","{1}{U}{U}","U","Instant","","","Monztre","","Counter target spell. Draw a card, then discard a card.","""What arrives uninvited, overstays its welcome, and is blown away with a single breath?"""
867,"Sphinx of Forgotten Lore","{2}{U}{U}","U","Creature — Sphinx","3","3","Chuck Lukacs","Flash,Flying","Flash\nFlying\nWhenever this creature attacks, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to that card's mana cost.",""
868,"Think Twice","{1}{U}","U","Instant","","","Alix Branwyn","Flashback","Draw a card.\nFlashback {2}{U}","""Hmm... I'm of two minds about this."""
869,"Abyssal Harvester","{1}{B}{B}","B","Creature — Demon Warlock","3","2","Aaron J. Riley","","{T}: Exile target creature card from a graveyard that was put there this turn. Create a token that's a copy of it, except it's a Nightmare in addition to its other types. Then exile all other Nightmare tokens you control.",""
870,"Blasphemous Edict","{3}{B}{B}","B","Sorcery","","","Dmitry Burmak","","You may pay {B} rather than pay this spell's mana cost if there are thirteen or more creatures on the battlefield.\nEach player sacrifices thirteen creatures of their choice.",""
871,"Bloodthirsty Conqueror","{3}{B}{B}","B","Creature — Vampire Knight","5","5","Alexander Mokhov","Deathtouch,Flying","Flying, deathtouch\nWhenever an opponent loses life, you gain that much life.","""Your death will be neither quick nor painless. Agony makes blood so much sweeter."""
872,"Hero's Downfall","{1}{B}{B}","B","Instant","","","Zoltan Boros","","Destroy target creature or planeswalker.","Querana held the bridge for hours, her blade a shining blur that cleaved through rags and rotten flesh. But the horde kept coming."
873,"High-Society Hunter","{3}{B}{B}","B","Creature — Vampire Noble","5","3","Aaron J. Riley","Flying","Flying\nWhenever this creature attacks, you may sacrifice another creature. If you do, put a +1/+1 counter on this creature.\nWhenever another nontoken creature dies, draw a card.","She preys on Thraben's elites, known for their sophisticated taste."
874,"Nine-Lives Familiar","{1}{B}{B}","B","Creature — Cat","1","1","Xabi Gaztelua","","This creature enters with eight revival counters on it if you cast it.\nWhen this creature dies, if it had a revival counter on it, return it to the battlefield with one fewer revival counter on it at the beginning of the next end step.","Curiosity stopped keeping score."
875,"Phyrexian Arena","{1}{B}{B}","B","Enchantment","","","Andrey Kuzinskiy","","At the beginning of your upkeep, you draw a card and you lose 1 life.","The gladiatorial stadiums on New Phyrexia echo day and night with the sounds of grinding metal and tearing flesh."
876,"Rise of the Dark Realms","{7}{B}{B}","B","Sorcery","","","Jorge Jacinto","","Put all creature cards from all graveyards onto the battlefield under your control.","The empire expanded hungrily, every bloody conquest seeding the ground with the corpses of all who resisted. One moonless night, the corpses rose to take back what was theirs."
877,"Tinybones, Bauble Burglar","{1}{B}","B","Legendary Creature — Skeleton Rogue","1","3","Rudy Siswanto","","Whenever an opponent discards a card, exile it from their graveyard with a stash counter on it.\nDuring your turn, you may play cards you don't own with stash counters on them from exile, and mana of any type can be spent to cast those spells.\n{3}{B}, {T}: Each opponent discards a card. Activate only as a sorcery.",""
878,"Vengeful Bloodwitch","{1}{B}","B","Creature — Vampire Warlock","1","1","Zezhou Chen","","Whenever this creature or another creature you control dies, target opponent loses 1 life and you gain 1 life.","""Using blood to shed more blood— tell me that's not inspired!"""
879,"Zul Ashur, Lich Lord","{1}{B}","B","Legendary Creature — Zombie Warlock","2","2","PINDURSKI","Ward","Ward—\nPay 2 life.\n{T}: You may cast target Zombie creature card from your graveyard this turn.","While her foes took stock of their casualties, she ordered hers to renew the assault."
880,"Abrade","{1}{R}","R","Instant","","","Tyler Walpole","","Choose one —\n• Abrade deals 3 damage to target creature.\n• Destroy target artifact.","Selis entered the storm brimming with confidence. Her courage crumbled almost as fast as her shield."
881,"Electroduplicate","{2}{R}","R","Sorcery","","","Andrew Mar","Flashback","Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""\nFlashback {2}{R}{R}","""What's a more fitting shape for a storm than a dragon?""\n—Niv-Mizzet"
882,"Etali, Primal Storm","{4}{R}{R}","R","Legendary Creature — Elder Dinosaur","6","6","Raymond Swanland","","Whenever Etali attacks, exile the top card of each player's library, then you may cast any number of spells from among those cards without paying their mana costs.","He is the roaring hurricane, the earthquake's sundering fury, the embodiment of wild, untamable power."
883,"Kellan, Planar Trailblazer","{R}","R","Legendary Creature — Human Faerie Scout","2","1","Aaron J. Riley","","{1}{R}: If Kellan is a Scout, it becomes a Human Faerie Detective and gains ""Whenever Kellan deals combat damage to a player, exile the top card of your library. You may play that card this turn.""\n{2}{R}: If Kellan is a Detective, it becomes a 3/2 Human Faerie Rogue and gains double strike.",""
884,"Rite of the Dragoncaller","{4}{R}{R}","R","Enchantment","","","Olivier Bernard","","Whenever you cast an instant or sorcery spell, create a 5/5 red Dragon creature token with flying.","They were summoned to usher in an age their summoner would never live to see."
885,"Searslicer Goblin","{1}{R}","R","Creature — Goblin Warrior","2","1","Arif Wijaya","Raid","Raid — At the beginning of your end step, if you attacked this turn, create a 1/1 red Goblin creature token.","Among the akki, promotions are regularly earned through important criteria like ""having the biggest weapon."""
886,"Twinflame Tyrant","{3}{R}{R}","R","Creature — Dragon","3","5","Justin Gerard","Flying","Flying\nIf a source you control would deal damage to an opponent or a permanent an opponent controls, it deals double that damage instead.","The two heads occasionally disagree on trivial matters like who to eat first."
887,"Genesis Wave","{X}{G}{G}{G}","G","Sorcery","","","Liiga Smilshkalne","","Reveal the top X cards of your library. You may put any number of permanent cards with mana value X or less from among them onto the battlefield. Then put all cards revealed this way that weren't put onto the battlefield into your graveyard.",""
888,"Ghalta, Primal Hunger","{10}{G}{G}","G","Legendary Creature — Elder Dinosaur","12","12","Justin Gerard","Trample","This spell costs {X} less to cast, where X is the total power of creatures you control.\nTrample","She is the predator's appetite, the hunter's ferocity, the primordial progenitor of claws and fangs."
889,"Loot, Exuberant Explorer","{2}{G}","G","Legendary Creature — Beast Noble","1","4","Rudy Siswanto","","You may play an additional land on each of your turns.\n{4}{G}{G}, {T}: Look at the top six cards of your library. You may reveal a creature card with mana value less than or equal to the number of lands you control from among them and put it onto the battlefield. Put the rest on the bottom in a random order.",""
890,"Mossborn Hydra","{2}{G}","G","Creature — Elemental Hydra","0","0","Monztre","Landfall,Trample","Trample\nThis creature enters with a +1/+1 counter on it.\nLandfall — Whenever a land you control enters, double the number of +1/+1 counters on this creature.",""
891,"Preposterous Proportions","{5}{G}{G}","G","Sorcery","","","Filipe Pagliuso","","Creatures you control get +10/+10 and gain vigilance until end of turn.","""I think you mean giant lemures, a type of malevolent spirit that . . . OH GODS, WHAT IS THAT?!""\n—Uriah the Smug, last words"
892,"Quilled Greatwurm","{4}{G}{G}","G","Creature — Wurm","7","7","Maxime Minard","Trample","Trample\nWhenever a creature you control deals combat damage during your turn, put that many +1/+1 counters on it.\nYou may cast this card from your graveyard by removing six counters from among creatures you control in addition to paying its other costs.",""
893,"Reclamation Sage","{2}{G}","G","Creature — Elf Shaman","2","1","Andrew Mar","","When this creature enters, you may destroy target artifact or enchantment.","""All matter returns to nature, in time. I just speed up the process a bit."""
894,"Spinner of Souls","{2}{G}","G","Creature — Spider Spirit","4","3","Xavier Ribeiro","Reach","Reach\nWhenever another nontoken creature you control dies, you may reveal cards from the top of your library until you reveal a creature card. Put that card into your hand and the rest on the bottom of your library in a random order.",""
895,"Sylvan Scavenging","{1}{G}{G}","G","Enchantment","","","Quintin Gleim","","At the beginning of your end step, choose one —\n• Put a +1/+1 counter on target creature you control.\n• Create a 3/3 green Raccoon creature token if you control a creature with power 4 or greater.",""
896,"Alesha, Who Laughs at Fate","{1}{B}{R}","B,R","Legendary Creature — Human Warrior","2","2","Dmitry Burmak","First strike,Raid","First strike\nWhenever Alesha attacks, put a +1/+1 counter on it.\nRaid — At the beginning of your end step, if you attacked this turn, return target creature card with mana value less than or equal to Alesha's power from your graveyard to the battlefield.",""
897,"Anthem of Champions","{G}{W}","G,W","Enchantment","","","Ryan Pancoast","","Creatures you control get +1/+1.","""Our home may have no walls, but it is far from undefended."""
898,"Ashroot Animist","{2}{R}{G}","G,R","Creature — Lizard Druid","4","4","Lie Setiawan","Trample","Trample\nWhen this creature attacks, another target creature you control gains trample and gets +X/+X until end of turn, where X is this creature's power.","""The land is my steed, and I am its champion!"""
899,"Elenda, Saint of Dusk","{2}{W}{B}","B,W","Legendary Creature — Vampire Knight","4","4","Lie Setiawan","Hexproof,Hexproof from,Lifelink","Lifelink, hexproof from instants\nAs long as your life total is greater than your starting life total, Elenda gets +1/+1 and has menace. Elenda gets an additional +5/+5 as long as your life total is at least 10 greater than your starting life total.",""
900,"Koma, World-Eater","{3}{G}{G}{U}{U}","G,U","Legendary Creature — Serpent","8","12","Néstor Ossandón Leal","Trample,Ward","This spell can't be countered.\nTrample, ward {4}\nWhenever Koma deals combat damage to a player, create four 3/3 blue Serpent creature tokens named Koma's Coil.","Some called him a monster. Others called him a god. All who beheld him knew his power."
901,"Kykar, Zephyr Awakener","{2}{W}{U}","U,W","Legendary Creature — Bird Wizard","3","4","Zezhou Chen","Flying","Flying\nWhenever you cast a noncreature spell, choose one —\n• Exile another target creature you control. Return that card to the battlefield under its owner's control at the beginning of the next end step.\n• Create a 1/1 white Spirit creature token with flying.",""
